"year","period","periodName","value"
"2016","Q04","4th Quarter","81.4"
"2016","Q03","3rd Quarter","81.4"
"2016","Q02","2nd Quarter","81.3"
"2016","Q01","1st Quarter","81.2"
"2022","Q03","3rd Quarter","82.6"
"2022","Q02","2nd Quarter","82.5"
"2022","Q01","1st Quarter","82.3"
"2021","Q04","4th Quarter","81.8"
"2021","Q03","3rd Quarter","81.8"
"2021","Q02","2nd Quarter","81.5"
"2021","Q01","1st Quarter","81.2"
"2020","Q04","4th Quarter","81.0"
"2020","Q03","3rd Quarter","81.2"
"2020","Q02","2nd Quarter","80.7"
"2020","Q01","1st Quarter","82.8"
"2005","Q04","4th Quarter","37.5"
"2005","Q03","3rd Quarter","37.5"
"2005","Q02","2nd Quarter","37.2"
"2005","Q01","1st Quarter","36.6"
"2004","Q04","4th Quarter","36.4"
"2004","Q03","3rd Quarter","36.3"
"2004","Q02","2nd Quarter","36.0"
"2004","Q01","1st Quarter","36.2"
"2003","Q04","4th Quarter","36.0"
"2003","Q03","3rd Quarter","35.6"
"2003","Q02","2nd Quarter","35.6"
"2003","Q01","1st Quarter","35.5"
"2002","Q04","4th Quarter","35.0"
"2002","Q03","3rd Quarter","34.9"
"2002","Q02","2nd Quarter","34.4"
"2002","Q01","1st Quarter","33.9"
"2001","Q04","4th Quarter","33.7"
"2001","Q03","3rd Quarter","33.4"
"2001","Q02","2nd Quarter","33.0"
"2001","Q01","1st Quarter","32.8"
"2000","Q04","4th Quarter","32.4"
"2000","Q03","3rd Quarter","32.4"
"2000","Q02","2nd Quarter","32.2"
"2000","Q01","1st Quarter","32.4"
"2010","Q04","4th Quarter","40.1"
"2010","Q03","3rd Quarter","40.4"
"2010","Q02","2nd Quarter","40.3"
"2010","Q01","1st Quarter","40.1"
"2009","Q04","4th Quarter","40.0"
"2009","Q03","3rd Quarter","40.0"
"2009","Q02","2nd Quarter","40.1"
"2009","Q01","1st Quarter","39.9"
"2008","Q04","4th Quarter","39.9"
